step,load_pressure,outage_severity,solar_factor,grid_support
0,0.517168,0.000000,1.000000,0.000000
1,0.857930,0.000000,1.000000,0.000000
2,0.742403,0.000000,1.000000,0.000000
3,0.455776,0.000000,1.000000,0.000000
4,0.408432,0.000000,1.000000,0.000000
5,0.430080,0.000000,1.000000,0.000000
6,0.482231,0.000000,1.000000,0.000000
7,0.517082,0.000000,1.000000,0.000000
8,0.412152,0.000000,1.000000,0.000000
9,0.532881,1.000000,0.000000,0.000000
10,0.641072,1.000000,0.000000,0.000000
11,0.592365,1.000000,0.000000,0.000000
12,0.532542,1.000000,0.000000,0.000000
13,0.491012,1.000000,0.000000,0.000000
14,0.469748,1.000000,0.000000,0.000000
15,0.452225,1.000000,0.000000,0.000000
16,0.454687,1.000000,0.000000,0.000000
17,0.448048,1.000000,0.000000,0.000000
18,0.428072,1.000000,0.000000,0.000000
19,0.413561,1.000000,0.000000,0.000000
20,0.439353,1.000000,0.000000,0.000000
21,0.455859,0.000000,1.000000,0.000000
22,0.455282,0.000000,1.000000,0.000000
23,0.436099,0.000000,1.000000,0.000000
24,0.439623,0.000000,1.000000,0.000000
25,0.432685,0.000000,1.000000,0.000000
26,0.428810,0.000000,1.000000,0.000000
27,0.411235,0.000000,1.000000,0.000000
28,0.404640,0.000000,1.000000,0.000000
29,0.418472,0.000000,1.000000,0.000000
30,0.432444,0.000000,1.000000,0.000000
31,0.439131,0.000000,1.000000,0.000000
32,0.324164,0.000000,1.000000,0.000000
33,0.422058,0.000000,1.000000,0.000000
34,0.520118,0.000000,1.000000,0.000000
35,0.532219,0.000000,1.000000,0.000000
36,0.528884,0.000000,1.000000,0.000000
37,0.501706,0.000000,1.000000,0.000000
38,0.494043,0.000000,1.000000,0.000000
39,0.492628,0.000000,1.000000,0.000000
40,0.492588,0.000000,1.000000,0.000000
41,0.485497,0.000000,1.000000,0.000000
42,0.460468,0.000000,1.000000,0.000000
43,0.446377,0.000000,1.000000,0.000000
44,0.477011,0.000000,1.000000,0.000000
45,0.496191,0.000000,1.000000,0.000000
46,0.497283,0.000000,1.000000,0.000000
47,0.467818,0.000000,1.000000,0.000000
48,0.461939,0.000000,1.000000,0.000000
49,0.454179,0.000000,1.000000,0.000000
50,0.448004,0.000000,1.000000,0.000000
51,0.423905,0.000000,1.000000,0.000000
52,0.412304,0.000000,1.000000,0.000000
53,0.412112,0.000000,1.000000,0.000000
54,0.417650,0.000000,1.000000,0.000000
55,0.427973,0.000000,1.000000,0.000000
56,0.311258,0.000000,1.000000,0.000000
57,0.415689,0.000000,1.000000,0.000000
58,0.508802,0.000000,1.000000,0.000000
59,0.523324,0.000000,1.000000,0.000000
60,0.523360,0.000000,1.000000,0.000000
61,0.507082,0.000000,1.000000,0.000000
62,0.501590,0.000000,1.000000,0.000000
63,0.486216,0.000000,1.000000,0.000000
64,0.486196,0.000000,1.000000,0.000000
65,0.508462,0.000000,1.000000,0.000000
66,0.487126,0.000000,1.000000,0.000000
67,0.468965,0.000000,1.000000,0.000000
68,0.498399,0.000000,1.000000,0.000000
69,0.514592,0.000000,1.000000,0.000000
70,0.523816,0.000000,1.000000,0.000000
71,0.529586,0.000000,1.000000,0.000000
72,0.527867,0.000000,1.000000,0.000000
73,0.502690,0.000000,1.000000,0.000000
74,0.496418,0.000000,1.000000,0.000000
75,0.483148,0.000000,1.000000,0.000000
76,0.462225,0.000000,1.000000,0.000000
77,0.460240,0.000000,1.000000,0.000000
78,0.467323,0.000000,1.000000,0.000000
79,0.478046,0.000000,1.000000,0.000000
80,0.347596,0.000000,1.000000,0.000000
81,0.451353,0.000000,1.000000,0.000000
82,0.547936,0.000000,1.000000,0.000000
83,0.535683,0.000000,1.000000,0.000000
84,0.529585,0.000000,1.000000,0.000000
85,0.523659,0.000000,1.000000,0.000000
86,0.506763,0.000000,1.000000,0.000000
87,0.486255,0.000000,1.000000,0.000000
88,0.477373,0.000000,1.000000,0.000000
89,0.470459,0.000000,1.000000,0.000000
90,0.452308,0.000000,1.000000,0.000000
91,0.443434,0.000000,1.000000,0.000000
92,0.473527,0.000000,1.000000,0.000000
93,0.480803,0.000000,1.000000,0.000000
94,0.480839,0.000000,1.000000,0.000000
95,0.464960,0.000000,1.000000,0.000000
96,0.451862,0.000000,1.000000,0.000000
97,0.432986,0.000000,1.000000,0.000000
98,0.425312,0.000000,1.000000,0.000000
99,0.403540,0.000000,1.000000,0.000000
100,0.406487,0.000000,1.000000,0.000000
101,0.422861,0.000000,1.000000,0.000000
102,0.412017,0.000000,1.000000,0.000000
103,0.414738,0.000000,1.000000,0.000000
104,0.316005,0.000000,1.000000,0.000000
105,0.403625,0.000000,1.000000,0.000000
106,0.492357,0.000000,1.000000,0.000000
107,0.517930,0.000000,1.000000,0.000000
108,0.531083,0.000000,1.000000,0.000000
109,0.525291,0.000000,1.000000,0.000000
110,0.520389,0.000000,1.000000,0.000000
111,0.518487,0.000000,1.000000,0.000000
112,0.525797,0.000000,1.000000,0.000000
113,0.537596,0.000000,1.000000,0.000000
114,0.521972,0.000000,1.000000,0.000000
115,0.497961,0.000000,1.000000,0.000000
116,0.516334,0.000000,1.000000,0.000000
117,0.526786,0.000000,1.000000,0.000000
118,0.513882,0.000000,1.000000,0.000000
119,0.499780,0.000000,1.000000,0.000000
120,0.504732,0.000000,1.000000,0.000000
121,0.494536,0.000000,1.000000,0.000000
122,0.475160,0.000000,1.000000,0.000000
123,0.428914,0.000000,1.000000,0.000000
124,0.419186,0.000000,1.000000,0.000000
125,0.426653,0.000000,1.000000,0.000000
